"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"88";"GRÜNE";NA;"Rauer";"Benjamin";"1983";"m";"Sozialarbeiter";"Hüllhorst";"32";"39";"35-44 J.";"Benjamin Rauer";NA;NA;"Nein";NA;"Liste"
NA;"GRÜNE";"von";"Marenholtz";"Anja";"1971";"w";"Landesschatzmeisterin GRÜNE NRW";"Pulheim";"33";"51";"45-54 J.";"Anja Marenholtz";NA;NA;"Nein";NA;"Liste"
"24";"GRÜNE";NA;"Zimmermann";"Marc";"1972";"m";"Wildnispädagoge";"Gummersbach";"34";"50";"45-54 J.";"Marc Zimmermann";NA;NA;"Nein";NA;"Liste"
"97";"GRÜNE";NA;"Eisentraut";"Julia";"1993";"w";"Softwareentwicklerin";"Oerlinghausen";"35";"29";"25-34 J.";"Julia Eisentraut";NA;NA;"Nein";NA;"Liste"
"79";"GRÜNE";NA;"Sonne";"Dennis";"1984";"m";"Finanzwirt";"Lüdinghausen";"36";"38";"35-44 J.";"Dennis Sonne";NA;NA;"Nein";NA;"Liste"
"112";"GRÜNE";NA;"Lögering";"Katrin";"1990";"w";"Geschäftsführerin";"Dortmund";"37";"32";"25-34 J.";"Katrin Lögering";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"90";"GRÜNE";NA;"Reschinsky";"Marvin";"1992";"m";"Gewerkschaftssekretär";"Köln";"38";"30";"25-34 J.";"Marvin Reschinsky";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"20";"GRÜNE";NA;"David";"Santharupiny";"1988";"w";"Wissenschaftliche Mitarbeiterin";"Leverkusen";"39";"34";"25-34 J.";"Santharupiny David";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"60";"GRÜNE";"Dipl. Ing.";"Wagener";"Thomas";"1974";"m";"Ingenieur";"Neukirchen-Vluyn";"40";"48";"45-54 J.";"Thomas Wagener";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"107";"GRÜNE";"di";"Bari";"Anna";"2000";"w";"Studentin";"Bochum";"41";"22";"15-24 J.";"Anna Bari";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"4";"GRÜNE";NA;"Noack";"Philipp";"1993";"m";"Volkswirt";"Aachen";"42";"29";"25-34 J.";"Philipp Noack";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"126";"GRÜNE";NA;"Köninger";"Manuela";"1978";"w";"Hochschullehrkraft";"Neunkirchen";"43";"44";"35-44 J.";"Manuela Köninger";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"98";"GRÜNE";"Dr.";"Pohl";"Burkhard";"1968";"m";"Gymnasiallehrer";"Lemgo";"44";"54";"45-54 J.";"Burkhard Pohl";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"34";"GRÜNE";NA;"Fuchs";"Eva Miriam";"1980";"w";"Senior Manager & Prokuristin";"Wuppertal";"45";"42";"35-44 J.";"Eva Miriam Fuchs";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"63";"GRÜNE";NA;"Keser";"Melih";"1986";"m";"Kaufmann für Versicherungen und Finanzen";"Duisburg";"46";"36";"35-44 J.";"Melih Keser";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"21";"GRÜNE";NA;"Lamberti";"Andrea";"1975";"w";"Sachbearbeiterin";"Rösrath";"47";"47";"45-54 J.";"Andrea Lamberti";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"36";"GRÜNE";NA;"Schichel";"David";"1981";"m";"Wissenschaftlicher Mitarbeiter";"Remscheid";"48";"41";"35-44 J.";"David Schichel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"12";"GRÜNE";NA;"Elsner";"Isabel";"1996";"w";"Studentin";"Langerwehe";"49";"26";"25-34 J.";"Isabel Elsner";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"8";"GRÜNE";"Dr.";"Keßeler";"Thomas";"1967";"m";"Angestellter";"Euskirchen";"50";"55";"55-64 J.";"Thomas Keßeler";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"78";"GRÜNE";NA;"Raack";"Mareike";"1992";"w";"Politikwissenschaftlerin";"Coesfeld";"51";"30";"25-34 J.";"Mareike Raack";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"42";"GRÜNE";NA;"Mielczarek";"Lukas";"2000";"m";"Student";"Düsseldorf";"52";"22";"15-24 J.";"Lukas Mielczarek";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"81";"GRÜNE";NA;"Dömer";"Sandra";"1983";"w";"Heilpädagogin";"Nordwalde";"53";"39";"35-44 J.";"Sandra Dömer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"110";"GRÜNE";NA;"May";"Fabian";"1995";"m";"Lehrer";"Herne";"54";"27";"25-34 J.";"Fabian May";NA;NA;"Nein";NA;"nicht
ge-
wählt"
