"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"16";"DIE LINKE";NA;"Schwerd";"Daniel";"1966";"m";"Selbstständig";"Köln";NA;"56";"55-64 J.";"Daniel Schwerd";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"17";"AfD";NA;"Türe";"Ahmet";"1966";"m";"Selbstständig";"Köln";NA;"56";"55-64 J.";"Ahmet Türe";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"17";"DIE LINKE";NA;"Eisfeld";"Madeleine";"1965";"w";"Staatlich geprüfte Sozialsekretärin";"Köln";NA;"57";"55-64 J.";"Madeleine Eisfeld";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"17";"GRÜNE";NA;"Schuth";"Marvin";"1988";"m";"Dualer Student Klinische Pflege";"Köln";NA;"34";"25-34 J.";"Marvin Schuth";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"18";"AfD";NA;"Boyens";"Stephan";"1962";"m";"Unternehmensentwickler";"Köln";NA;"60";"55-64 J.";"Stephan Boyens";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"19";"DIE LINKE";NA;"Gümüs";"Attila";"1977";"m";"Tontechniker";"Köln";NA;"45";"45-54 J.";"Attila Gümüs";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"21";"AfD";NA;"Feller";"Jörg";"1960";"m";"Diplomvolkswirt";"Rösrath";NA;"62";"55-64 J.";"Jörg Feller";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"21";"DIE LINKE";NA;"Santillán";"Tomás M.";"1964";"m";"Selbstständig";"Bergisch Gladbach";NA;"58";"55-64 J.";"Tomás M. Santillán";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"22";"DIE LINKE";NA;"Galow";"Mike";"1976";"m";"Bürokaufmann";"Wermelskirchen";NA;"46";"45-54 J.";"Mike Galow";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"23";"DIE LINKE";NA;"Wegner";"Marko";"1967";"m";"Kaufmann";"Wiehl";NA;"55";"55-64 J.";"Marko Wegner";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"23";"GRÜNE";NA;"Söhnchen";"Uwe";"1958";"m";"Krankenpfleger";"Engelskirchen";NA;"64";"55-64 J.";"Uwe Söhnchen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"24";"AfD";NA;"Valentin";"Susanne";"1951";"w";"Sozialversicherungsangestellte i.R.";"Gummersbach";NA;"71";"65-74 J.";"Susanne Valentin";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"25";"AfD";NA;"von den Bergen";"Ralf";"1962";"m";"Selbständiger Projektingenieur";"Troisdorf";NA;"60";"55-64 J.";"Ralf von den Bergen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"25";"CDU";NA;"Franken";"Björn";"1979";"m";"Leitender Angestellter (Prokurist), Mitglied des Landtags";"Ruppichteroth";NA;"43";"35-44 J.";"Björn Franken";"Rhein-Sieg-Kreis I";"43,9";"Ja";"erststimme";"Direkt"
"25";"DIE LINKE";NA;"Serwaty";"Judith";"1983";"w";"Sozial-Pädagogin";"Ruppichteroth";NA;"39";"35-44 J.";"Judith Serwaty";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"25";"GRÜNE";NA;"Zacharias";"Holger";"1969";"m";"Glaser";"Ruppichteroth";NA;"53";"45-54 J.";"Holger Zacharias";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"26";"AfD";NA;"Overath";"Anno";"1973";"m";"Selbständiger Kaufmann";"Troisdorf";NA;"49";"45-54 J.";"Anno Overath";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"26";"DIE LINKE";NA;"Reichardt";"Bastian";"1985";"m";"Autor";"Königswinter";NA;"37";"35-44 J.";"Bastian Reichardt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"27";"AfD";NA;"Heintze";"Armin";"1966";"m";"Rentner";"Rheinbach";NA;"56";"55-64 J.";"Armin Heintze";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"27";"CDU";NA;"Krauß";"Oliver";"1969";"m";"Rechtsanwalt, Mitglied des Landtags";"Alfter";NA;"53";"45-54 J.";"Oliver Krauß";"Rhein-Sieg-Kreis III";"44,8";"Ja";"erststimme";"Direkt"
"27";"DIE LINKE";NA;"Lafazanis";"Iris";"1964";"w";"Gebäudereinigerin";"Weilerswist";NA;"58";"55-64 J.";"Iris Lafazanis";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"27";"GRÜNE";"Dr.";"Kuhn";"Arnd";"1957";"m";"Wissenschaftler";"Bornheim";NA;"65";"65-74 J.";"Arnd Kuhn";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"28";"AfD";NA;"Moses";"Gert";"1970";"m";"Angestellter";"Windeck";NA;"52";"45-54 J.";"Gert Moses";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"28";"DIE LINKE";NA;"Shaikh";"Kashif";"1974";"m";"Verwaltungsfachangestellter";"Troisdorf";NA;"48";"45-54 J.";"Kashif Shaikh";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"28";"GRÜNE";NA;"Huwer";"Thomas";"1983";"m";"Filialleiter im Einzelhandel";"Troisdorf";NA;"39";"35-44 J.";"Thomas Huwer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"29";"AfD";NA;"Mylonas";"Marios";"1962";"m";"Rechtsanwalt";"Hennef";NA;"60";"55-64 J.";"Marios Mylonas";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"29";"DIE LINKE";NA;"Döhring";"Martina";"1962";"w";"Dipl.-Biologin";"Siegburg";NA;"60";"55-64 J.";"Martina Döhring";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"30";"AfD";"Prof. Dr.";"Neuhoff";"Hans";"1959";"m";"Professor an einer Kunsthochschule";"Düsseldorf";NA;"63";"55-64 J.";"Hans Neuhoff";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"30";"DIE LINKE";"von";"Raußendorf";"Hanno";"1962";"m";"Jurist";"Bonn";NA;"60";"55-64 J.";"Hanno Raußendorf";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"31";"AfD";NA;"Ulbrich";"Sascha";"1972";"m";"Angestellter";"Düsseldorf";NA;"50";"45-54 J.";"Sascha Ulbrich";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"31";"CDU";"Dr.";"Katzidis";"Christos";"1969";"m";"Polizeioberrat a.D., Mitglied des Landtages";"Bonn";NA;"53";"45-54 J.";"Christos Georg Katzidis";"Bonn II";"39,1";"Ja";"erststimme";"Direkt"
"31";"DIE LINKE";NA;"Schenkel";"Julia";"1992";"w";"Angestellte";"Bonn";NA;"30";"25-34 J.";"Julia Schenkel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"32";"DIE LINKE";NA;"Köse";"Emel";"1990";"w";"Doktorantin";"Wuppertal";NA;"32";"25-34 J.";"Emel Köse";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"32";"GRÜNE";NA;"Zawierucha";"Andreas";"1963";"m";"Werkstattlehrer";"Wuppertal";NA;"59";"55-64 J.";"Andreas Zawierucha";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"33";"AfD";NA;"Liedtke-Bentlage";"Martin";"1962";"m";"Angestellter";"Wuppertal";NA;"60";"55-64 J.";"Martin Liedtke-Bentlage";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"33";"DIE LINKE";NA;"Merkel";"Kai";"1984";"m";"Politologe";"Wuppertal";NA;"38";"35-44 J.";"Kai Merkel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"33";"FDP";NA;"Trachte";"Alexandra";"1979";"w";"Bürokauffrau";"Wuppertal";NA;"43";"35-44 J.";"Alexandra Trachte";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"33";"GRÜNE";NA;"Schulz";"Marc";"1978";"m";"Angestellter";"Wuppertal";NA;"44";"35-44 J.";"Marc Schulz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"34";"AfD";NA;"Feist";"Otto";"1954";"m";"Rentner";"Wuppertal";NA;"68";"65-74 J.";"Otto Feist";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"34";"FDP";NA;"Bremes";"Jessica";"2000";"w";"Verwaltungswirtin";"Solingen";NA;"22";"15-24 J.";"Jessica Bremes";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"35";"AfD";NA;"Kühne";"Frederick";"1972";"m";"Staatlich geprüfter. Bautechniker, Maurer";"Solingen";NA;"50";"45-54 J.";"Frederick Kühne";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"35";"GRÜNE";NA;"Vaeckenstedt";"Silvia Ingrid";"1970";"w";"Angestellte";"Solingen";NA;"52";"45-54 J.";"Silvia Ingrid Vaeckenstedt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"36";"AfD";NA;"Marre";"Nicolai";"1994";"m";"IT-Systemelektroniker";"Wipperfürth";NA;"28";"25-34 J.";"Nicolai Marre";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"37";"AfD";NA;"Heinz";"Patrick";"1994";"m";"Student";"Langenfeld";NA;"28";"25-34 J.";"Patrick Heinz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"37";"DIE LINKE";NA;"Sencan";"Mehmet";"1964";"m";"Kaufmann";"Langenfeld";NA;"58";"55-64 J.";"Mehmet Sencan";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"38";"AfD";NA;"Nixdorf";"Andreas";"1969";"m";"Busfahrer";"Mettmann";NA;"53";"45-54 J.";"Andreas Nixdorf";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"38";"DIE LINKE";NA;"Meisen";"Natalie";"1992";"w";"Referendarin";"Düsseldorf";NA;"30";"25-34 J.";"Natalie Meisen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"39";"AfD";NA;"Ulrich";"Bernd";"1950";"m";"Rentner";"Ratingen";NA;"72";"65-74 J.";"Bernd Ulrich";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"39";"GRÜNE";NA;"Meier";"Ute";"1969";"w";"Online-Redakteurin";"Ratingen";NA;"53";"45-54 J.";"Ute Meier";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"40";"AfD";NA;"Ehrentraut";"Josef";"1957";"m";"Rentner";"Velbert";NA;"65";"65-74 J.";"Josef Ehrentraut";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"40";"GRÜNE";"Dr.";"Kanschat";"Esther";"1966";"w";"Chemikerin";"Velbert";NA;"56";"55-64 J.";"Esther Kanschat";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"41";"AfD";NA;"Vogt";"Marco Paul";"1977";"m";"Angestellter";"Düsseldorf";NA;"45";"45-54 J.";"Marco Paul Vogt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"41";"DIE LINKE";NA;"Nowitzki";"Marcel Dieter";"1983";"m";"Betreuungspädagoge";"Düsseldorf";NA;"39";"35-44 J.";"Marcel Dieter Nowitzki";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"42";"AfD";NA;"Schmitz";"Maximilian";"1996";"m";"Student";"Düsseldorf";NA;"26";"25-34 J.";"Maximilian Schmitz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"43";"AfD";NA;"Jörres";"Wolf-Rüdiger";"1967";"m";"Angestellter";"Düsseldorf";NA;"55";"55-64 J.";"Wolf-Rüdiger Jörres";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"44";"AfD";NA;"Salinger";"Elmar";"1975";"m";"Angestellter";"Düsseldorf";NA;"47";"45-54 J.";"Elmar Salinger";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"44";"DIE LINKE";NA;"Marmulla";"Julia Susanne";"1988";"w";"selbständige Tourismusberaterin";"Düsseldorf";NA;"34";"25-34 J.";"Julia Susanne Marmulla";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"45";"AfD";NA;"Rausch";"Christof";"1965";"m";"Versicherungsmakler";"Kaarst";NA;"57";"55-64 J.";"Christof Rausch";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"45";"DIE LINKE";NA;"vom Dorff";"Falk";"1987";"m";"Student";"Neuss";NA;"35";"35-44 J.";"Falk vom Dorff";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"45";"GRÜNE";NA;"Benary";"Susanne Elisabeth";"1964";"w";"Dipl.-Sozialarbeiterin";"Neuss";NA;"58";"55-64 J.";"Susanne Elisabeth Benary";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"46";"AfD";NA;"Hrdy";"Stefan";"1956";"m";"Vorstandsfahrer";"Rommerskirchen";NA;"66";"65-74 J.";"Stefan Hrdy";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"46";"DIE LINKE";NA;"Rogel-Obermann";"Walter";"1953";"m";"Rentner";"Grevenbroich";NA;"69";"65-74 J.";"Walter Rogel-Obermann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"47";"DIE LINKE";NA;"Zimmermann";"Monika";"1950";"w";"Rentnerin";"Kaarst";NA;"72";"65-74 J.";"Monika Zimmermann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"48";"DIE LINKE";NA;"Bayram";"Teyfik";"1969";"m";"Berufskraftfahrer";"Krefeld";NA;"53";"45-54 J.";"Teyfik Bayram";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"49";"AfD";NA;"Mayer-Steudte";"Thomas";"1957";"m";"Wissenschaftlicher Referent";"Krefeld";NA;"65";"65-74 J.";"Thomas Mayer-Steudte";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"49";"DIE LINKE";NA;"Hagemes";"Stephan";"1975";"m";"Sozialarbeiter";"Krefeld";NA;"47";"45-54 J.";"Stephan Hagemes";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"49";"GRÜNE";NA;"Zander";"Benjamin";"1973";"m";"Selbständiger IT Berater";"Krefeld";NA;"49";"45-54 J.";"Benjamin Zander";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"50";"DIE LINKE";NA;"Merkens";"Sebastian";"1980";"m";"Erzieher";"Mönchengladbach";NA;"42";"35-44 J.";"Sebastian Merkens";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"51";"DIE LINKE";NA;"Schultz";"Torben";"1971";"m";"Systemadministrator";"Mönchengladbach";NA;"51";"45-54 J.";"Torben Schultz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"51";"GRÜNE";NA;"Wirtz";"Martin";"1983";"m";"Heilerziehungspfleger";"Mönchengladbach";NA;"39";"35-44 J.";"Martin Wirtz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"52";"AfD";NA;"Fiebig";"Elvira";"1959";"w";"Kommissioniererin";"Viersen";NA;"63";"55-64 J.";"Elvira Fiebig";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"52";"DIE LINKE";NA;"Röder";"Andreas";"1978";"m";"Verwaltungsfachangestellter";"Viersen";NA;"44";"35-44 J.";"Andreas Röder";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"53";"AfD";NA;"Müller";"Peter";"1961";"m";"Kaufmann";"Kempen";NA;"61";"55-64 J.";"Peter Müller";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"53";"DIE LINKE";NA;"van Helden";"Jana";"1997";"w";"Studentin";"Viersen";NA;"25";"25-34 J.";"Jana van Helden";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"53";"GRÜNE";NA;"Britsch";"Manuel";"1985";"m";"Referent für digitale Prozesse";"Nettetal";NA;"37";"35-44 J.";"Manuel Britsch";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"54";"AfD";NA;"Elbers";"Sven";"1979";"m";"Anwendungsentwickler";"Geldern";NA;"43";"35-44 J.";"Sven Elbers";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"54";"DIE LINKE";NA;"Hayduk";"Norbert";"1958";"m";"Supervisor";"Geldern";NA;"64";"55-64 J.";"Norbert Hayduk";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"54";"FDP";NA;"van Stephoudt";"Lucas";"1994";"m";"Wirtschaftsförderer";"Geldern";NA;"28";"25-34 J.";"Lucas van Stephoudt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"55";"DIE LINKE";NA;"Hesseling";"Sabine";"1970";"w";"Kfm. Angestellte";"Emmerich am Rhein";NA;"52";"45-54 J.";"Sabine Hesseling";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"56";"AfD";NA;"Kempkes";"Wolfgang";"1966";"m";"Betriebswirt";"Oberhausen";NA;"56";"55-64 J.";"Wolfgang Kempkes";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"56";"DIE LINKE";NA;"Koch";"Lühr";"1950";"m";"Rentner";"Oberhausen";NA;"72";"65-74 J.";"Lühr Koch";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"56";"GRÜNE";NA;"Axt";"Norbert";"1958";"m";"Lehrer";"Oberhausen";NA;"64";"55-64 J.";"Norbert Axt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"57";"AfD";NA;"Wilhelm";"Olaf";"1971";"m";"Lehrer";"Dinslaken";NA;"51";"45-54 J.";"Olaf Wilhelm";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"57";"FDP";NA;"Piechatzek";"Bettina";"1978";"w";"Datenschutzbeauftragte";"Dinslaken";NA;"44";"35-44 J.";"Bettina Piechatzek";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"58";"AfD";NA;"van Meegeren";"Daniela";"1980";"w";"Angestellte";"Rheinberg";NA;"42";"35-44 J.";"Daniela van Meegeren";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"58";"GRÜNE";NA;"Awater";"Niels";"2000";"m";"Student";"Rheinberg";NA;"22";"15-24 J.";"Niels Awater";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"59";"AfD";NA;"Raumann";"Holger";"1969";"m";"Selbst. Versicherungskaufmann";"Moers";NA;"53";"45-54 J.";"Holger Raumann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"59";"DIE LINKE";NA;"Schulz";"Hilmar";"1983";"m";"Veranstaltungskaufmann";"Wesel";NA;"39";"35-44 J.";"Hilmar Schulz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"59";"FDP";NA;"Kleinsteinberg";"Nadine";"1990";"w";"Steuerberaterin";"Schermbeck";NA;"32";"25-34 J.";"Nadine Kleinsteinberg";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"59";"GRÜNE";NA;"Langenbrink";"Elke Christiane";"1965";"w";"Angestellte";"Schermbeck";NA;"57";"55-64 J.";"Elke Christiane Langenbrink";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"60";"AfD";"Dr.";"Rieger";"Renatus";"1958";"m";"Dipl.-Kaufmann";"Moers";NA;"64";"55-64 J.";"Renatus Rieger";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"60";"DIE LINKE";NA;"Özer";"Hasan";"1984";"m";"Chemikant";"Moers";NA;"38";"35-44 J.";"Hasan Özer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"61";"AfD";NA;"Dennisen";"Nicola";"1994";"w";"Examinierte Gesundheits- und Krankenpflegerin";"Duisburg";NA;"28";"25-34 J.";"Nicola Dennisen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"62";"DIE LINKE";NA;"Klee";"Helen";"1995";"w";"Studentin";"Duisburg";NA;"27";"25-34 J.";"Helen Klee";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"63";"AfD";NA;"Dehnen";"Sabine";"1980";"w";"Angestellte";"Duisburg";NA;"42";"35-44 J.";"Sabine Dehnen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"64";"AfD";"Dr.";"Lessau";"Wolfgang Siegfried";"1939";"m";"Facharzt für Radiologie";"Mülheim an der Ruhr";NA;"83";"75 J. und älter";"Wolfgang Siegfried Lessau";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"64";"DIE LINKE";NA;"Scheffler";"Marc";"1996";"m";"Auszubildender";"Mülheim an der Ruhr";NA;"26";"25-34 J.";"Marc Scheffler";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"64";"GRÜNE";NA;"Rose";"Kathrin Rosa";"1980";"w";"Persönliche Referentin Mitglied des Landtages";"Mülheim an der Ruhr";NA;"42";"35-44 J.";"Kathrin Rosa Rose";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"65";"AfD";NA;"Reil";"Guido";"1970";"m";"Steiger";"Essen";NA;"52";"45-54 J.";"Guido Reil";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"65";"DIE LINKE";NA;"Giesecke";"Gabriele";"1954";"w";"Rentnerin";"Essen";NA;"68";"65-74 J.";"Gabriele Giesecke";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"65";"GRÜNE";NA;"Spitzer-Pachel";"Markus";"1971";"m";"Kfm. Angestellter";"Essen";NA;"51";"45-54 J.";"Markus Spitzer-Pachel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"66";"AfD";NA;"Schmitz";"Jens";"1967";"m";"Feuerwehrbeamter";"Essen";NA;"55";"55-64 J.";"Jens Schmitz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"66";"DIE LINKE";NA;"Suthor";"Hendrik";"1997";"m";"Wissenschaftlicher Mitarbeiter";"Essen";NA;"25";"25-34 J.";"Hendrik Suthor";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"67";"AfD";NA;"Brecklinghaus";"Stefanie";"1961";"w";"Dipl.-Kauffrau";"Essen";NA;"61";"55-64 J.";"Stefanie Brecklinghaus";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"68";"AfD";NA;"Graf";"Gabriele";"1957";"w";"Anwalt- und Notarfachkraft";"Essen";NA;"65";"65-74 J.";"Gabriele Graf";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"69";"AfD";NA;"Schützek";"Marcus";"1973";"m";"Angestellter";"Gladbeck";NA;"49";"45-54 J.";"Marcus Schützek";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"69";"DIE LINKE";NA;"Kohn";"Rolf";"1956";"m";"Rentner";"Recklinghausen";NA;"66";"65-74 J.";"Rolf Kohn";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"70";"AfD";NA;"Fuldner-Kirchner";"Andrea";"1963";"w";"Angestellte";"Marl";NA;"59";"55-64 J.";"Andrea Fuldner-Kirchner";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"70";"DIE LINKE";NA;"Kuster";"Hauke";"1984";"m";"Gewerkschaftssekretär";"Marl";NA;"38";"35-44 J.";"Hauke Kuster";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"70";"GRÜNE";NA;"Hilbrand";"Florian-Massimo";"1990";"m";"Soldat";"Marl";NA;"32";"25-34 J.";"Florian-Massimo Hilbrand";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"72";"AfD";NA;"Hofstätter";"Hans-Jürgen";"1953";"m";"Rentner";"Haltern am See";NA;"69";"65-74 J.";"Hans-Jürgen Hofstätter";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"72";"GRÜNE";NA;"Großer";"Maximilian";"1993";"m";"Student";"Datteln";NA;"29";"25-34 J.";"Maximilian Großer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"73";"AfD";NA;"Rikowski";"Friedhelm";"1956";"m";"Verwaltungsbeamter a. D.";"Gelsenkirchen";NA;"66";"65-74 J.";"Friedhelm Rikowski";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"73";"DIE LINKE";NA;"Euler";"Philipp";"1983";"m";"Sachverständiger für Brandschutz";"Gladbeck";NA;"39";"35-44 J.";"Philipp Euler";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"73";"GRÜNE";NA;"Witzel";"Niklas";"1997";"m";"Erzieher in Ausbildung";"Gelsenkirchen";NA;"25";"25-34 J.";"Niklas Witzel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"74";"DIE LINKE";NA;"Selter";"Jonas";"1994";"m";"Student";"Gelsenkirchen";NA;"28";"25-34 J.";"Jonas Selter";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"75";"AfD";NA;"Bauer";"Detlef";"1960";"m";"Kraftfahrer";"Bottrop";NA;"62";"55-64 J.";"Detlef Bauer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"75";"DIE LINKE";NA;"Blocks";"Günter";"1958";"m";"Verwaltungsangestellter";"Oberhausen";NA;"64";"55-64 J.";"Günter Blocks";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"75";"GRÜNE";NA;"Gutsche";"Joachim";"1964";"m";"Musiker";"Bottrop";NA;"58";"55-64 J.";"Joachim Gutsche";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"76";"GRÜNE";NA;"Rülfing";"Heinrich Josef";"1966";"m";"Landwirt";"Rhede";NA;"56";"55-64 J.";"Heinrich Josef Rülfing";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"77";"CDU";NA;"Wermer";"Heike";"1988";"w";"Mitglied des Landtags";"Heek";NA;"34";"25-34 J.";"Heike Wermer";"Borken II";"56,3";"Ja";"erststimme";"Direkt"
"77";"FDP";NA;"Kernebeck";"Sergej";"1990";"m";"Finanzbeamter";"Gronau";NA;"32";"25-34 J.";"Sergej Kernebeck";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"77";"GRÜNE";NA;"Steiner";"Jens";"1975";"m";"Kommunikationsberater";"Heek";NA;"47";"45-54 J.";"Jens Steiner";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"78";"AfD";NA;"Mack";"Patrick";"1986";"m";"Student";"Gronau";NA;"36";"35-44 J.";"Patrick Mack";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"78";"CDU";NA;"Korth";"Wilhelm";"1967";"m";"Mitglied des Landtags";"Coesfeld";NA;"55";"55-64 J.";"Wilhelm Korth";"Coesfeld I – Borken III";"51,9";"Ja";"erststimme";"Direkt"
"78";"DIE LINKE";NA;"Butteweg";"Jonathan";"2003";"m";"Mitarbeiter im Baumarkt";"Raesfeld";NA;"19";"15-24 J.";"Jonathan Butteweg";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"79";"AfD";NA;"Hageneier";"Ralf";"1961";"m";"Busfahrer";"Havixbeck";NA;"61";"55-64 J.";"Ralf Hageneier";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"79";"CDU";NA;"Panske";"Dietmar";"1967";"m";"Mitglied des Landtags";"Ascheberg";NA;"55";"55-64 J.";"Dietmar Panske";"Coesfeld II";"49,6";"Ja";"erststimme";"Direkt"
"79";"DIE LINKE";NA;"Stegemann";"Klaus";"1960";"m";"Arbeiter";"Dülmen";NA;"62";"55-64 J.";"Klaus Stegemann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"80";"AfD";NA;"Pröbsting";"Michael";"1951";"m";"Rentner";"Greven";NA;"71";"65-74 J.";"Michael Pröbsting";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"80";"CDU";NA;"Schulze Föcking";"Christina";"1976";"w";"Staatlich geprüfte Landwirtin, Mitglied des Landtags NRW";"Steinfurt";NA;"46";"45-54 J.";"Christina Schulze Föcking";"Steinfurt I";"53,3";"Ja";"erststimme";"Direkt"
"81";"AfD";NA;"Elixmann";"Florian";"1987";"m";"Wissenschaftlicher Mitarbeiter/ Referent";"Rheine";NA;"35";"35-44 J.";"Florian Elixmann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
